default_code,name,product_diameter,thickness,length,uom_id,uom_po_id
"255071","D 40 x 1,5 mm",0.04,0.0015,6.15,29,30
"71601","D 20 x 2 mm",0.02,0.002,6.15,29,30
"71604","D 25 x 2 mm",0.025,0.002,6.15,29,30
"71807","D 26,9 x 2 mm",0.0269,0.002,6.15,29,30
"71607","D 30 x 2 mm",0.03,0.002,6.15,29,30
"71610","D 35 x 2 mm",0.035,0.002,6.15,29,30
"71613","D 40 x 2 mm",0.04,0.002,6.15,29,30
"71616","D 45 x 2 mm",0.045,0.002,6.15,29,30
"71619","D 60 x 2 mm",0.05,0.002,6.15,29,30
"71622","D 50 x 2 mm",0.06,0.002,6.15,29,30
"71711","D 70 x 3 mm",0.07,0.003,6.15,29,30
"71809","D 33,7 x 2,5 mm",0.0337,0.0025,6.15,29,30
"71811","D 42,4 x 2,5 mm",0.0424,0.0025,6.15,29,30
"835535","D 48,3 x 2,9 mm",0.0483,0.0029,6.15,29,30
"71813","D 48,3 x 3 mm",0.0483,0.003,6.15,29,30
"71815","D 60,3 x 3 mm",0.0603,0.003,6.15,29,30
"71817","D 88,9 x 3 mm",0.0889,0.003,6.15,29,30
"71818","D 101,6 x 3 mm",0.1016,0.003,6.15,29,30
"71819","D 114,3 x 3 mm",0.1143,0.003,6.15,29,30
"71820","D 139,7 x 4 mm",0.1397,0.004,6.15,29,30
"71824","D 168,3 x 4 mm",0.1683,0.004,6.15,29,30
"71826","D 193,7 x 4 mm",0.1937,0.004,6.15,29,30
"71828","D 219,1 x 4 mm",0.2191,0.004,6.15,29,30
