default_code,name,length,width,height,dimensional_uom
"70793","6x6 mm",6.0,0.006,0.006,"ML"
"70794","8x8 mm",6.0,0.008,0.008,"ML"
"70795","10x10 mm",6.0,0.01,0.01,"ML"
"70796","12x12 mm",6.0,0.012,0.012,"ML"
"70797","14x14 mm",6.0,0.014,0.014,"ML"
"70798","16x16 mm",6.0,0.016,0.016,"ML"
"70799","18x18 mm",6.0,0.018,0.018,"ML"
"70800","20x20 mm",6.0,0.02,0.02,"ML"
"70801","22x22 mm",6.0,0.022,0.022,"ML"
"70802","25x25 mm",6.0,0.025,0.025,"ML"
"70803","30x30 mm",6.0,0.03,0.03,"ML"
"70804","35x35 mm",6.0,0.035,0.035,"ML"
"70805","40x40 mm",6.0,0.04,0.04,"ML"
"70806","50x50 mm",6.0,0.05,0.05,"ML"
"70807","60x60 mm",6.0,0.06,0.06,"ML"
