default_code,name,length,width,height,diameter,thickness
"70853","10x3 mm",6.00,0.010,0.003,0.000,0.000
"70856","12x3 mm",6.00,0.120,0.003,0.000,0.000
"70857","12x4 mm",6.00,0.012,0.004,0.000,0.000
"70858","12x5 mm",6.00,0.012,0.005,0.000,0.000
"70859","12x6 mm",6.00,0.012,0.006,0.000,0.000
"70861","14x4 mm",6.00,0.014,0.004,0.000,0.000
"70862","14x5 mm",6.00,0.014,0.005,0.000,0.000
"70863","14x6 mm",6.00,0.014,0.006,0.000,0.000
"70864","14x8 mm",6.00,0.014,0.008,0.000,0.000
"70865","16x3 mm",6.00,0.016,0.003,0.000,0.000
"70866","16x4 mm",6.00,0.016,0.004,0.000,0.000
"70867","16x5 mm",6.00,0.016,0.005,0.000,0.000
"70868","16x6 mm",6.00,0.016,0.006,0.000,0.000
"70869","16x8 mm",6.00,0.016,0.008,0.000,0.000
"70870","16x10 mm",6.00,0.160,0.010,0.000,0.000
"70871","18x4 mm",6.00,0.018,0.004,0.000,0.000
"70872","18x5 mm",6.00,0.018,0.005,0.000,0.000
"70876","20x3 mm",6.00,0.020,0.003,0.000,0.000
"70877","20x4 mm",6.00,0.020,0.004,0.000,0.000
"70878","20x5 mm",6.00,0.020,0.005,0.000,0.000
"70879","20x6 mm",6.00,0.020,0.006,0.000,0.000
"70880","20x8 mm",6.00,0.020,0.008,0.000,0.000
"70881","20x10 mm",6.00,0.020,0.010,0.000,0.000
"70882","20x12 mm",6.00,0.020,0.012,0.000,0.000
"70884","20x15 mm",6.00,0.20,0.015,0.000,0.000
"70886","25x3 mm",6.00,0.025,0.003,0.000,0.000
"70887","25x4 mm",6.00,0.025,0.004,0.000,0.000
"70888","25x5 mm",6.00,0.025,0.005,0.000,0.000
"70889","25x6 mm",6.00,0.025,0.006,0.000,0.000
"70890","25x8 mm",6.00,0.025,0.008,0.000,0.000
"70891","25x10 mm",6.00,0.025,0.010,0.000,0.000
"70892","25x12 mm",6.00,0.025,0.012,0.000,0.000
"70894","25x15 mm",6.00,0.25,0.015,0.000,0.000
"70896","30x3 mm",6.00,0.030,0.003,0.000,0.000
"70897","30x4 mm",6.00,0.030,0.004,0.000,0.000
"70898","30x5 mm",6.00,0.030,0.005,0.000,0.000
"70899","30x6 mm",6.00,0.030,0.006,0.000,0.000
"70900","30x8 mm",6.00,0.030,0.008,0.000,0.000
"70901","30x10 mm",6.00,0.030,0.010,0.000,0.000
"70902","30x12 mm",6.00,0.030,0.012,0.000,0.000
"70904","30x15 mm",6.00,0.030,0.015,0.000,0.000
"70906","30x20 mm",6.00,0.030,0.020,0.000,0.000
"70907","35x3 mm",6.00,0.035,0.03,0.000,0.000
"70908","35x4 mm",6.00,0.035,0.004,0.000,0.000
"70909","35x5 mm",6.00,0.035,0.005,0.000,0.000
"70910","35x6 mm",6.00,0.035,0.006,0.000,0.000
"70911","35x8 mm",6.00,0.035,0.008,0.000,0.000
"70912","35x10 mm",6.00,0.035,0.010,0.000,0.000
"70913","35x12 mm",6.00,0.035,0.012,0.000,0.000
"70915","35x15 mm",6.00,0.035,0.015,0.000,0.000
"70917","35x20 mm",6.00,0.035,0.020,0.000,0.000
"70918","40x3 mm",6.00,0.040,0.003,0.000,0.000
"70919","40x4 mm",6.00,0.040,0.004,0.000,0.000
"70920","40x5 mm",6.00,0.040,0.005,0.000,0.000
"70921","40x6 mm",6.00,0.040,0.006,0.000,0.000
"70923","40x8 mm",6.00,0.040,0.008,0.000,0.000
"70924","40x10 mm",6.00,0.040,0.010,0.000,0.000
"70925","40x12 mm",6.00,0.040,0.012,0.000,0.000
"70927","40x15 mm",6.00,0.040,0.015,0.000,0.000
"70929","40x20 mm",6.00,0.040,0.020,0.000,0.000
"70930","40x25 mm",6.00,0.040,0.025,0.000,0.000
"70932","45x5 mm",6.00,0.045,0.05,0.000,0.000
"70933","45x6 mm",6.00,0.045,0.006,0.000,0.000
"70934","45x8 mm",6.00,0.045,0.008,0.000,0.000
"70935","45x10 mm",6.00,0.045,0.010,0.000,0.000
"70937","50x3 mm",6.00,0.050,0.003,0.000,0.000
"70938","50x4 mm",6.00,0.050,0.004,0.000,0.000
"70939","50x5 mm",6.00,0.050,0.005,0.000,0.000
"70940","50x6 mm",6.00,0.050,0.006,0.000,0.000
"70941","50x8 mm",6.00,0.050,0.008,0.000,0.000
"70942","50x10 mm",6.00,0.050,0.010,0.000,0.000
"70943","50x12 mm",6.00,0.050,0.012,0.000,0.000
"70946","50x15 mm",6.00,0.050,0.015,0.000,0.000
"70947","50x20 mm",6.00,0.050,0.020,0.000,0.000
"70948","50x25 mm",6.00,0.50,0.025,0.000,0.000
"70949","50x30 mm",6.00,0.050,0.030,0.000,0.000
"70951","60x4 mm",6.00,0.060,0.004,0.000,0.000
"70952","60x5 mm",6.00,0.060,0.005,0.000,0.000
"70953","60x6 mm",6.00,0.060,0.006,0.000,0.000
"70954","60x8 mm",6.00,0.060,0.008,0.000,0.000
"70955","60x10 mm",6.00,0.060,0.010,0.000,0.000
"70956","60x12 mm",6.00,0.060,0.012,0.000,0.000
"70958","60x15 mm",6.00,0.060,0.015,0.000,0.000
"70960","60x20 mm",6.00,0.060,0.020,0.000,0.000
"70961","60x25 mm",6.00,0.60,0.025,0.000,0.000
"70962","60x30 mm",6.00,0.060,0.030,0.000,0.000
"70963","70x5 mm",6.00,0.070,0.005,0.000,0.000
"70964","70x6 mm",6.00,0.070,0.006,0.000,0.000
"70965","70x8 mm",6.00,0.070,0.008,0.000,0.000
"70966","70x10 mm",6.00,0.070,0.010,0.000,0.000
"70967","70x12 mm",6.00,0.070,0.012,0.000,0.000
"70969","70x15 mm",6.00,0.070,0.015,0.000,0.000
"70971","70x20 mm",6.00,0.070,0.020,0.000,0.000
"70973","70x30 mm",6.00,0.70,0.030,0.000,0.000
"70974","80x5 mm",6.00,0.080,0.005,0.000,0.000
"70975","80x6 mm",6.00,0.080,0.006,0.000,0.000
"70976","80x8 mm",6.00,0.080,0.008,0.000,0.000
"70977","80x10 mm",6.00,0.080,0.010,0.000,0.000
"70978","80x12 mm",6.00,0.080,0.012,0.000,0.000
"70980","80x15 mm",6.00,0.080,0.015,0.000,0.000
"70982","80x20 mm",6.00,0.080,0.020,0.000,0.000
"70983","80x25 mm",6.00,0.080,0.025,0.000,0.000
"70986","90x8 mm",6.00,0.090,0.008,0.000,0.000
"70987","90x10 mm",6.00,0.090,0.010,0.000,0.000
"70989","100x5 mm",6.00,0.100,0.005,0.000,0.000
"70990","100x6 mm",6.00,0.100,0.006,0.000,0.000
"70991","100x8 mm",6.00,0.100,0.008,0.000,0.000
"70992","100x10 mm",6.00,0.100,0.010,0.000,0.000
"70993","100x12 mm",6.00,0.100,0.012,0.000,0.000
"70994","100x15 mm",6.00,0.100,0.015,0.000,0.000
"70995","100x20 mm",6.00,0.100,0.020,0.000,0.000
"70996","100x40 mm",6.00,0.100,0.040,0.000,0.000
"70997","110x8 mm",6.00,0.110,0.008,0.000,0.000
"70998","110x10 mm",6.00,0.110,0.010,0.000,0.000
"70999","120x5 mm",6.00,0.120,0.005,0.000,0.000
"71000","120x6 mm",6.00,0.120,0.006,0.000,0.000
"71001","120x8 mm",6.00,0.120,0.008,0.000,0.000
"71002","120x10 mm",6.00,0.120,0.010,0.000,0.000
"71003","120x12 mm",6.00,0.120,0.012,0.000,0.000
"71004","120x15 mm",6.00,0.120,0.015,0.000,0.000
"71005","120x20 mm",6.00,0.120,0.020,0.000,0.000
"71006","140x6 mm",6.00,0.140,0.006,0.000,0.000
"71007","140x8 mm",6.00,0.140,0.008,0.000,0.000
"71008","140x10 mm",6.00,0.140,0.010,0.000,0.000
"71009","140x12 mm",6.00,0.140,0.012,0.000,0.000
"71010","140x15 mm",6.00,0.140,0.015,0.000,0.000
"71011","140x20 mm",6.00,0.0140,0.020,0.000,0.000
"71012","150x5 mm",6.00,0.150,0.005,0.000,0.000
"71013","150x6 mm",6.00,0.150,0.006,0.000,0.000
"71014","150x8 mm",6.00,0.150,0.008,0.000,0.000
"71015","150x10 mm",6.00,0.150,0.010,0.000,0.000
"71017","150x15 mm",6.00,0.150,0.015,0.000,0.000
"71018","150x20 mm",6.00,0.150,0.020,0.000,0.000
